800000;28051;-999;-999;0.591;-999;-999;31.7;38639;-12.2;4.4;790;-999;-999;-999;7.3;61;36.10;7;7;-0.15;-1.4;-1.4;-1.490;-1.83;17.60;26.20;29.80;69.60;42.00;30.00;24.0
5000000;101000;-999;-999;0.440;-999;-999;9.2;1410;4.8;5.4;56;-999;-999;5;7.3;75.6;28.50;7;7;-0.66;-1.7;-2.2;-1.560;-1.20;13.80;23.40;35.50;79.90;41.70;20.00;22.0
1300000;42388;34.8;17.9;0.871;5.94;70.8;38.5;29313;1.1;6.2;1887;-999;-999;16;6.9;52.6;39.80;1;1;0.66;1.1;1.6;1.280;1.24;83.90;75.70;80.40;80.70;78.80;80.00;26.7
1100000;17204;50.4;15.5;0.588;-999;-999;11.1;9776;1.7;7.0;-999;-999;-999;11;25.3;65.2;34.10;7;6;-0.3;-0.6;-0.6;-0.290;-0.30;35.30;26.90;55.30;74.80;55.90;40.00;6.2
105000000;1000000;33.0;26.7;0.463;4.18;32.3;177.5;1946;10.2;4.0;66;-999;-999;8;5.7;90.6;17.70;7;6;-1.69;-0.7;-1.0;-0.450;-0.56;37.60;37.70;31.10;76.50;52.80;20.00;38.8
900000;18274;-999;-999;0.741;-999;49;8.3;9268;4.3;3.6;331;-999;-999;-999;7.9;68.2;32.60;3;3;0.79;0.1;-0.2;-0.250;0.36;47.10;34.80;68.30;81.40;62.00;50.00;16.0
6000000;303815;27.2;31.3;0.920;7.79;81.3;231.4;42165;0.4;9.4;3669;7.2;3570;19;9;2.3;57.10;1;1;1.07;1.9;1.8;2.030;2.22;82.70;89.80;89.00;66.50;74.10;80.00;42.0
67000000;549970;29.3;30.4;0.901;6.64;73.9;2733.7;42314;1.1;11.1;4542;5.5;2373;16;10;2.7;57.00;1;2;0.21;1.4;1.2;1.440;1.26;72.70;65.10;84.00;47.30;63.90;70.00;39.0
1900000;257667;42.2;17.5;0.702;4.78;40.9;35.9;19057;4;2.7;481;-999;-999;-999;18.5;84.6;22.60;7;5;-0.09;-0.9;-0.8;-0.680;-0.81;27.80;33.40;29.90;74.30;58.00;40.00;17.1
2100000;10120;50.2;-999;0.460;-999;-999;3.4;1667;4.4;6.6;-999;-999;-999;9;29.7;74;29.40;4;5;-999;-999;-999;-999;-999;38.80;36.80;34.40;71.90;52.30;50.00;10.3
3700000;69700;40.1;31.1;0.780;4.45;55.40;37.2;10044;2.8;7.9;718;-999;-999;15;11.6;73.3;29.80;3;3;-0.37;0.6;1.1;0.330;0.74;64.20;61.80;62.80;87.00;76.20;60.00;16.0
83000000;348672;27.0;29.8;0.936;7.07;79.6;3980.3;48111;1.5;11.2;5357;4.9;2369;17;4.3;41.3;44.20;1;1;0.58;1.7;1.8;1.610;1.84;78.00;75.30;81.00;61.30;74.20;70.00;37.0
29000000;227533;42.3;21.4;0.592;5.48;40.2;121.7;4412;3.5;5.9;249;6.2;89;12;5.8;79;26.50;1;2;0.09;-0.1;-0.1;0.130;-0.23;43.70;32.90;48.90;83.50;56.00;60.00;12.7
11000000;130647;36.7;23.6;0.870;5.15;64.1;289.4;26669;-0.2;8.4;2204;-999;-999;18;23.9;20.9;51.30;2;2;-0.13;0.3;0.2;0.080;-0.14;59.00;37.90;52.30;60.40;57.30;40.00;18.3
108000;344;-999;-999;0.772;-999;-999;-999;-999;-999;5.0;677;-999;-999;17;-999;-999;-999;1;2;1.03;-0.2;-0.1;0.440;0.48;-999;-999;-999;-999;-999;-999;33.3
17000000;107159;53.0;34.2;0.650;6.33;42.5;131.7;7899;4;5.7;444;2.9;108;11;2.4;95.3;12.50;4;4;-0.57;-0.6;-0.3;-1.060;-0.74;33.10;27.30;40.40;79.20;63.40;50.00;12.7
13000000;245717;39.4;-999;0.459;4.87;28.3;16.0;1265;0.1;4.5;57;2.4;18;9;6.8;80.6;25.40;5;5;-0.61;-1.0;-0.8;-1.230;-1.01;28.20;26.90;32.40;65.90;52.20;40.00;21.9
1700000;28120;-999;-999;0.455;-999;-999;2.9;1730;4.8;6.9;100;-999;-999;-999;6.5;85.6;21.90;5;5;-0.6;-1.8;-1.2;-1.440;-1.56;53.50;27.30;31.10;86.40;56.90;30.00;13.7
800000;196849;44.6;-999;0.654;-999;42.8;6.0;7873;3;4.5;336;-999;-999;10;11.4;70.8;31.20;2;3;-0.04;-0.3;-0.4;-0.290;-0.51;42.50;34.80;42.10;68.40;58.70;30.00;31.9
11000000;27560;60.8;28.6;0.498;3.82;24.2;19.4;1784;1;6.9;120;-999;-999;-999;13.2;85.6;21.90;5;5;-0.7;-2.1;-1.3;-1.090;-1.24;42.50;24.60;25.10;80.10;55.80;30.00;2.5
9000000;111890;47.1;27.2;0.617;6.02;41.9;43.2;5272;3.6;7.6;353;-999;-999;11;6.3;76.6;27.90;4;4;-0.55;-0.5;-0.4;-1.050;-0.72;34.50;28.20;44.30;82.80;60.60;60.00;25.8
10000000;89608;28.2;26.4;0.838;6.07;66.1;270.3;27482;2.9;7.2;1912;4.6;658;15;5.2;29.4;48.50;3;2;0.81;0.5;0.7;0.530;0.09;57.10;36.40;57.60;78.60;66.70;70.00;10.1
300000;100250;28.0;31.1;0.935;7.48;83.7;16.5;49136;4;8.6;4116;-999;-999;20;3.8;44.2;43.10;1;1;1.37;1.5;1.4;1.610;1.84;72.60;77.30;86.70;72.10;77.00;70.00;47.6
1339000000;2973193;35.2;29.2;0.640;4.05;40;8662.4;6616;7.3;3.9;238;-999;-999;12;3.5;77.7;27.30;2;3;-0.83;0.1;-0.3;0.000;-0.24;54.30;47.20;55.40;79.40;54.50;40.00;11.8
264000000;1811569;36.8;35.7;0.694;5.10;46.4;3032.1;11720;4.8;3.3;369;3.3;115;13;5.6;90.7;17.60;2;4;-0.51;0.0;-0.1;-0.350;-0.25;45.20;42.80;49.30;83.70;64.20;60.00;19.8
81000000;1531595;44.5;24.0;0.798;4.72;48.00;1454.5;18078;0;7.6;1262;2.8;155;15;11.3;91.1;17.20;6;6;-0.93;-0.2;-1.2;-0.680;-0.81;35.30;32.60;32.50;81.00;50.90;10.00;5.9
38000000;437367;-999;26.5;0.685;4.46;37.00;647.2;17944;2.4;3.4;481;-999;-999;-999;16;45.4;42.70;5;6;-2.33;-1.3;-1.2;-1.640;-1.37;11.40;23.40;36.70;-999;-999;-999;25.3
